SEÇÃO,DIVISÃO,GRUPO,CLASSE,SUBCLASSE,DENOMINAÇÃO
,,29.7,,,"FABRICAÇÃO DE ARMAS, MUNIÇÕES E EQUIPAMENTOS MILITARES"
,,,,,
,,,29.71-8,,Fabricação de armas de fogo e munições
,,,29.72-6,,Fabricação de equipamento bélico pesado
,,,,,
,,29.8,,,FABRICAÇÃO DE ELETRODOMÉSTICOS
,,,,,
,,,29.81-5,,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico"
,,,29.89-0,,Fabricação de outros aparelhos eletrodomésticos
,,,,,
,30,,,,FABRICAÇÃO DE MÁQUINAS PARA ESCRITÓRIO E EQUIPAMENTOS DE INFORMÁTICA
,,,,,
,,30.1,,,FABRICAÇÃO DE MÁQUINAS PARA ESCRITÓRIO
,,,,,
,,,30.11-2,,"Fabricação de máquinas de escrever e calcular, copiadoras e outros equipamentos não-eletrônicos para escritório"
,,,30.12-0,,"Fabricação de máquinas de escrever e calcular, copiadoras e outros equipamentos eletrônicos destinados à automação gerencial e comercial"
,,,,,
,,30.2,,,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS DE SISTEMAS ELETRÔNICOS PARA PROCESSAMENTO DE DADOS
,,,,,
,,,30.21-0,,Fabricação de computadores
,,,30.22-8,,Fabricação de equipamentos periféricos para máquinas eletrônicas para tratamento de informações
,,,,,
,31,,,,"FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS"
,,,,,
,,31.1,,,"FABRICAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
,,,,,
,,,31.11-9,,Fabricação de geradores de corrente contínua ou alternada
,,,31.12-7,,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes"
,,,31.13-5,,Fabricação de motores elétricos
,,,,,
,,31.2,,,FABRICAÇÃO DE EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
,,,,,
,,,31.21-6,,"Fabricação de subestações, quadros de comando, reguladores de voltagem e outros aparelhos e equipamentos para distribuição e controle de energia"
,,,31.22-4,,Fabricação de material elétrico para instalações em circuito de consumo
,,,,,
,,31.3,,,"FABRICAÇÃO DE FIOS, CABOS E CONDUTORES ELÉTRICOS ISOLADOS"
,,,,,
,,,31.30-5,,"Fabricação de fios, cabos e condutores elétricos isolados"
,,,,,
,,31.4,,,"FABRICAÇÃO DE PILHAS, BATERIAS E ACUMULADORES ELÉTRICOS"
,,,,,
,,,31.41-0,,"Fabricação de pilhas, baterias e acumuladores elétricos - exclusive para veículos"
,,,31.42-9,,Fabricação de baterias e acumuladores para veículos
,,,,,
,,31.5,,,FABRICAÇÃO DE LÂMPADAS E EQUIPAMENTOS DE ILUMINAÇÃO
,,,,,
,,,31.51-8,,Fabricação de lâmpadas
,,,31.52-6,,Fabricação de luminárias e equipamentos de iluminação - exclusive para veículos
,,,,,
,,31.6,,,FABRICAÇÃO DE MATERIAL ELÉTRICO PARA VEÍCULOS - EXCLUSIVE BATERIAS
,,,,,
,,,31.60-7,,Fabricação de material elétrico para veículos - exclusive baterias
,,,,,
,,31.9,,,FABRICAÇÃO DE OUTROS EQUIPAMENTOS E APARELHOS ELÉTRICOS
,,,,,
,,,31.91-7,,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroimãs e isoladores"
,,,31.92-5,,Fabricação de aparelhos e utensílios para sinalização e alarme
,,,31.99-2,,Fabricação de outros aparelhos ou equipamentos elétricos
,,,,,
,32,,,,FABRICAÇÃO DE MATERIAL ELETRÔNICO E DE APARELHOS E EQUIPAMENTOS DE COMUNICAÇÕES
,,,,,
,,32.1,,,FABRICAÇÃO DE MATERIAL ELETRÔNICO BÁSICO
,,,,,
,,,32.10-7,,Fabricação de material eletrônico básico
,,,,,
,,32.2,,,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS DE TELEFONIA E RADIOTELEFONIA E DE TRANSMISSORES DE TELEVISÃO E RÁDIO
,,,,,
,,,32.21-2,,"Fabricação de equipamentos transmissores de rádio e televisão e de equipamentos para estações telefônicas, para radiotelefonia e radiotelegrafia - inclusive de microondas e repetidoras"
,,,32.22-0,,"Fabricação de aparelhos telefônicos, sistemas de intercomunicação e semelhantes"
,,,,,
,,32.3,,,"FABRICAÇÃO DE APARELHOS RECEPTORES DE RÁDIO E TELEVISÃO E DE REPRODUÇÃO, GRAVAÇÃO OU AMPLIFICAÇÃO DE SOM E VÍDEO"
,,,,,
,,,32.30-1,,"Fabricação de aparelhos receptores de rádio e televisão e de reprodução, gravação ou amplificação de som e vídeo"
,,,,,
,33,,,,"FABRICAÇÃO DE EQUIPAMENTOS DE INSTRUMENTAÇÃO MÉDICO-HOSPITALARES, INSTRUMENTOS DE PRECISÃO E ÓPTICOS, EQUIPAMENTOS PARA AUTOMAÇÃO INDUSTRIAL, CRONÔMETROS E RELÓGIOS"
,,,,,
,,33.1,,,"FABRICAÇÃO DE APARELHOS E INSTRUMENTOS PARA USOS MÉDICOS-HOSPITALARES, ODONTOLÓGICOS E DE LABORATÓRIOS E APARELHOS ORTOPÉDICOS"
,,,,,
,,,33.10-3,,"Fabricação de aparelhos e instrumentos para usos médico-hospitalares, odontológicos e de laboratórios e aparelhos ortopédicos"
,,,,,
,,33.2,,,"FABRICAÇÃO DE APARELHOS E INSTRUMENTOS DE MEDIDA, TESTE E CONTROLE - EXCLUSIVE EQUIPAMENTOS PARA CONTROLE DE PROCESSOS INDUSTRIAIS"
,,,,,
,,,33.20-0,,"Fabricação de aparelhos e instrumentos de medida, teste e controle - exclusive equipamentos para controle de processos industriais"
,,,,,
,,33.3,,,"FABRICAÇÃO DE MÁQUINAS, APARELHOS E EQUIPAMENTOS DE SISTEMAS ELETRÔNICOS DEDICADOS A AUTOMAÇÃO INDUSTRIAL E CONTROLE DO PROCESSO PRODUTIVO"
,,,,,
,,,33.30-8,,"Fabricação de máquinas, aparelhos e equipamentos de sistemas eletrônicos dedicados a automação industrial e controle do processo produtivo"
,,,,,
,,33.4,,,"FABRICAÇÃO DE APARELHOS, INSTRUMENTOS E MATERIAIS ÓPTICOS, FOTOGRÁFICOS E CINEMATOGRÁFICOS"
,,,,,
,,,33.40-5,,"Fabricação de aparelhos, instrumentos e materiais ópticos, fotográficos e cinematográficos"
,,,,,
,,33.5,,,FABRICAÇÃO DE CRONÔMETROS E RELÓGIOS
,,,,,
,,,33.50-2,,Fabricação de cronômetros e relógios
,,,,,
,34,,,,"FABRICAÇÃO E MONTAGEM DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS"
,,,,,
,,34.1,,,"FABRICAÇÃO DE AUTOMÓVEIS, CAMINHONETAS E UTILITÁRIOS"
,,,,,
,,,34.10-0,,"Fabricação de automóveis, camionetas e utilitários"
,,,,,
,,34.2,,,FABRICAÇÃO DE CAMINHÕES E ÔNIBUS
,,,,,
,,,34.20-7,,Fabricação de caminhões e ônibus
,,,,,
,,34.3,,,"FABRICAÇÃO DE CABINES, CARROCERIAS E REBOQUES"
,,,,,
,,,34.31-2,,"Fabricação de cabines, carrocerias e reboques para caminhão "
,,,34.32-0,,Fabricação de carrocerias para ônibus
,,,34.39-8,,"Fabricação de cabines, carrocerias e reboques para outros veículos"
,,,,,
,,34.4,,,FABRICAÇÃO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES
,,,,,
,,,34.41-0,,Fabricação de peças e acessórios para o sistema motor
,,,34.42-8,,Fabricação de peças e acessórios para os sistemas de marcha e transmissão
,,,34.43-6,,Fabricação de peças e acessórios para o sistema de freios
,,,34.44-4,,Fabricação de peças e acessórios para o sistema de direção e suspensão
,,,34.49-5,,Fabricação de peças e acessórios de metal para veículos automotores não classificados em outra classe
,,,,,
,,34.5,,,RECONDICIONAMENTO OU RECUPERAÇÃO DE MOTORES PARA VEÍCULOS AUTOMOTORES
,,,,,
,,,34.50-9,,Recondicionamento ou recuperação de motores para veículos automotores
,,,,,
,35,,,,FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE
,,,,,
,,35.1,,,CONSTRUÇÃO E REPARAÇÃO DE EMBARCAÇÕES
,,,,,
,,,35.11-4,,Construção e reparação de embarcações e estruturas flutuantes
,,,35.12-2,,Construção e reparação de embarcações para esporte e lazer
,,,,,
,,35.2,,,"CONSTRUÇÃO, MONTAGEM E REPARAÇÃO DE VEÍCULOS FERROVIÁRIOS"
,,,,,
,,,35.21-1,,"Construção e montagem de locomotivas, vagões e outros materiais rodantes"
,,,35.22-0,,Fabricação de peças e acessórios para veículos ferroviários
,,,35.23-8,,Reparação de veículos ferroviários
,,,,,
,,35.3,,,"CONSTRUÇÃO, MONTAGEM E REPARAÇÃO DE AERONAVES"
,,,,,
,,,35.31-9,,Construção e montagem de aeronaves
,,,35.32-7,,Reparação de aeronaves
,,,,,
,,35.9,,,FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE
,,,,,
,,,35.91-2,,Fabricação de motocicletas
,,,35.92-0,,Fabricação de bicicletas e triciclos não-motorizados
,,,35.99-8,,Fabricação de outros equipamentos de transporte
,,,,,
,36,,,,FABRICAÇÃO DE MÓVEIS E INDÚSTRIAS DIVERSAS
,,,,,
,,36.1,,,FABRICAÇÃO DE ARTIGOS DO MOBILIÁRIO
,,,,,
,,,36.11-0,,Fabricação de móveis com predominância de madeira
,,,36.12-9,,Fabricação de móveis com predominância de metal
,,,36.13-7,,Fabricação de móveis de outros materiais
,,,36.14-5,,Fabricação de colchões
,,,,,
,,36.9,,,FABRICAÇÃO DE PRODUTOS DIVERSOS
,,,,,
,,,36.91-9,,"Lapidação de pedras preciosas e semi-preciosas, fabricação de artefatos de ourivesaria e joalheria"
,,,36.92-7,,Fabricação de instrumentos musicais
,,,36.93-5,,"Fabricação de artefatos para caça, pesca e esporte"
,,,36.94-3,,Fabricação de brinquedos e de jogos recreativos
,,,36.95-1,,"Fabricação de canetas, lápis, fitas impressoras para máquinas e outros artigos para escritório"
,,,36.96-0,,Fabricação de aviamentos para costura
,,,36.97-8,,"Fabricação de escovas, pincéis e vassouras"
,,,36.99-4,,Fabricação de produtos diversos
,,,,,
,37,,,,RECICLAGEM
,,,,,
,,37.1,,,RECICLAGEM DE SUCATAS METÁLICAS
,,,,,
,,,37.10-9,,Reciclagem de sucatas metálicas
,,,,,
,,37.2,,,RECICLAGEM DE SUCATAS NÃO-METÁLICAS
,,,,,
,,,37.20-6,,Reciclagem de sucatas não-metálicas
,,,,,
E,,,,,"PRODUÇÃO E DISTRIBUIÇÃO DE ELETRICIDADE, GÁS E ÁGUA"
,,,,,
,40,,,,"ELETRICIDADE, GÁS E ÁGUA QUENTE"
,,,,,
,,40.1,,,PRODUÇÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
,,,,,
,,,40.10-0,,Produção e distribuição de energia elétrica
,,,,,
,,40.2,,,PRODUÇÃO E DISTRIBUIÇÃO DE GÁS ATRAVÉS DE TUBULAÇÕES
,,,,,
,,,40.20-7,,Produção e distribuição de gás através de tubulações
,,,,,
,,40.3,,,PRODUÇÃO E DISTRIBUIÇÃO DE VAPOR E ÁGUA QUENTE
,,,,,
,,,40.30-4,,Produção e distribuição de vapor e água quente
,,,,,
,41,,,,"CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA"
,,,,,
,,41.0,,,"CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA"
,,,,,
,,,41.00-9,,"Captação, tratamento e distribuição de água"
,,,,,
F,,,,,CONSTRUÇÃO
,,,,,
,45,,,,CONSTRUÇÃO
,,,,,
,,45.1,,,PREPARAÇÃO DO TERRENO
,,,,,
,,,45.11-0,,Demolição e preparação do terreno
,,,45.12-8,,Perfurações e execução de fundações destinadas à construção civil
,,,45.13-6,,Grandes movimentações de terra
,,,,,
,,45.2,,,CONSTRUÇÃO DE EDIFÍCIOS E OBRAS DE ENGENHARIA CIVIL
,,,,,
,,,45.21-7,,"Edificações (residenciais, industriais, comerciais e de serviços)"
,,,45.22-5,,Obras viárias
,,,45.23-3,,Grandes estruturas e obras de arte
,,,45.24-1,,Obras de urbanização e paisagismo
,,,45.25-0,,Montagem de estruturas  
,,,45.29-2,,Obras de outros tipos
,,,,,
,,45.3,,,OBRAS DE INFRA-ESTRUTURA PARA ENGENHARIA ELÉTRICA E DE TELECOMUNICAÇÕES
,,,,,
,,,45.31-4,,Construção de barragens e represas para geração de energia elétrica
,,,45.32-2,,Construção de estações e redes de distribuição de energia elétrica
,,,45.33-0,,Construção de estações e redes de telefonia e comunicação
,,,45.34-9,,Construção de obras de prevenção e recuperação do meio ambiente
,,,,,
,,45.4,,,OBRAS DE INSTALAÇÕES
,,,,,
,,,45.41-1,,Instalações elétricas
,,,45.42-0,,"Instalações de sistemas de ar condicionado, de ventilação e refrigeração"
,,,45.43-8,,"Instalações hidráulicas, sanitárias, de gás e de sistema de prevenção contra incêndio"
,,,45.49-7,,Outras obras de instalações
,,,,,
,,45.5,,,OBRAS DE ACABAMENTO
,,,,,
,,,45.51-9,,Alvenaria e reboco
,,,45.52-7,,Impermeabilização e serviços de pintura em geral
,,,45.59-4,,Outras obras de acabamento
,,,,,
,,45.6,,,ALUGUEL DE EQUIPAMENTOS DE CONSTRUÇÃO E DEMOLIÇÃO COM OPERÁRIOS
,,,,,
,,,45.60-8,,Aluguel de equipamentos de construção e demolição com operários
,,,,,
G,,,,,"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES, OBJETOS PESSOAIS E DOMÉSTICOS"
,,,,,
,50,,,,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; E COMÉRCIO A VAREJO DE COMBUSTÍVEIS
,,,,,
,,50.1,,,COMÉRCIO A VAREJO E POR ATACADO DE VEÍCULOS AUTOMOTORES
,,,,,
,,,50.10-5,,Comércio a varejo e por atacado de veículos automotores
,,,,,
,,50.2,,,MANUTENÇÃO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES
,,,,,
,,,50.20-2,,Manutenção e reparação de veículos automotores
,,,,,
,,50.3,,,COMÉRCIO A VAREJO E POR ATACADO DE PEÇAS E ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES
,,,,,
,,,50.30-0,,Comércio a varejo e por atacado de peças e acessórios para veículos automotores
,,,,,
,,50.4,,,"COMÉRCIO, MANUTENÇÃO E REPARAÇÃO DE MOTOCICLETAS, PARTES, PEÇAS E ACESSÓRIOS"
,,,,,
,,,50.41-5,,"Comércio a varejo e por atacado de motocicletas, partes, peças e acessórios"
,,,50.42-3,,Manutenção e reparação de motocicletas
,,,,,
,,50.5,,,COMÉRCIO A VAREJO DE COMBUSTÍVEIS
,,,,,
,,,50.50-4,,Comércio a varejo de combustíveis
,,,,,
,51,,,,COMÉRCIO POR ATACADO E REPRESENTANTES COMERCIAIS E AGENTES  DO COMÉRCIO
,,,,,
,,51.1,,,REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO
,,,,,
,,,51.11-0,,"Representantes comerciais e agentes do comércio de matérias-primas agrícolas, animais vivos, matérias primas têxteis e produtos semi-acabados"
,,,51.12-8,,"Representantes comerciais e agentes do comércio de combustíveis, minerais, metais e produtos químicos industriais"
,,,51.13-6,,"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens"
,,,51.14-4,,"Representantes comerciais e agentes do comércio de máquinas, equipamentos industriais, embarcações e aeronaves"
,,,51.15-2,,Representantes comerciais e agentes do comércio de móveis e artigos de uso doméstico
,,,51.16-0,,"Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de couro"
,,,51.17-9,,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo"
,,,51.18-7,,Representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente
,,,51.19-5,,Representantes comerciais e agentes do comércio de mercadorias em geral (não especializados)
,,,,,
,,51.2,,,"COMÉRCIO ATACADISTA DE PRODUTOS AGROPECUÁRIOS ""IN NATURA""; PRODUTOS ALIMENTÍCIOS PARA ANIMAIS"
,,,,,
,,,51.21-7,,"Comércio atacadista de produtos agrícolas ""in natura""; produtos alimentícios para animais"
,,,51.22-5,,Comércio atacadista de animais vivos
,,,,,
,,51.3,,,"COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO"
,,,,,
,,,51.31-4,,Comércio atacadista de leite e produtos do leite
,,,51.32-2,,"Comércio atacadista de cereais beneficiados, farinhas, amidos e féculas"
,,,51.33-0,,Comércio atacadista de hortifrutigranjeiros
,,,51.34-9,,Comércio atacadista de carnes e produtos da carne
,,,51.35-7,,Comércio atacadista de pescados
,,,51.36-5,,Comércio atacadista de bebidas
,,,51.37-3,,Comércio atacadista de produtos do fumo
,,,51.39-0,,"Comércio atacadista de outros produtos alimentícios, não especificados anteriormente"
,,,,,
,,51.4,,,COMÉRCIO ATACADISTA DE ARTIGOS DE USOS PESSOAL E DOMÉSTICO
,,,,,
,,,51.41-1,,"Comércio atacadista de fios têxteis, tecidos, artefatos de tecidos e de armarinho"
,,,51.42-0,,Comércio atacadista de artigos do vestuário e complementos
,,,51.43-8,,Comércio atacadista de calçados
,,,51.44-6,,Comércio atacadista de eletrodomésticos e outros equipamentos de usos pessoal e doméstico
,,,51.45-4,,"Comércio atacadista de produtos farmacêuticos, médicos, ortopédicos e odontológicos"
,,,51.46-2,,Comércio atacadista de cosméticos e produtos de perfumaria
,,,51.47-0,,"Comércio atacadista de artigos de escritório e de papelaria;  livros, jornais, e outras publicações"
,,,51.49-7,,"Comércio atacadista de outros artigos de usos pessoal e doméstico, não especificados anteriormente"
,,,,,
,,51.5,,,"COMÉRCIO ATACADISTA DE PRODUTOS INTERMEDIÁRIOS NÃO-AGROPECUÁRIOS, RESÍDUOS E SUCATAS"
,,,,,
,,,51.51-9,,Comércio atacadista de combustíveis
,,,51.52-7,,Comércio atacadista de produtos extrativos de origem mineral
,,,51.53-5,,"Comércio atacadista de madeira, material de construção, ferragens e ferramentas"
,,,51.54-3,,Comércio atacadista de produtos químicos
,,,51.55-1,,Comércio atacadista de resíduos e sucatas
,,,51.59-4,,"Comércio atacadista de outros produtos intermediários não agropecuários, não especificados anteriormente"
,,,,,
,,51.6,,,"COMÉRCIO ATACADISTA DE MÁQUINAS, APARELHOS E EQUIPAMENTOS PARA USOS AGROPECUÁRIO, COMERCIAL, DE ESCRITÓRIO, INDUSTRIAL, TÉCNICO E PROFISSIONAL"
,,,,,
,,,51.61-6,,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário"
,,,51.62-4,,Comércio atacadista de máquinas e equipamentos para o comércio
,,,51.63-2,,Comércio atacadista de máquinas e equipamentos para escritório
,,,51.69-1,,"Comércio atacadista de máquinas, aparelhos e equipamentos para usos industrial, técnico e profissional, e outros usos, não especificados anteriormente"
,,,,,
,,51.9,,,COMÉRCIO ATACADISTA DE MERCADORIAS EM GERAL OU NÃO COMPREENDIDAS NOS GRUPOS ANTERIORES
,,,,,
,,,51.91-8,,Comércio atacadista de mercadorias em geral (não especializado)
,,,51.92-6,,Comércio atacadista especializado em mercadorias não especificadas anteriormente
,,,,,
,52,,,,COMÉRCIO VAREJISTA E REPARAÇÃO DE OBJETOS PESSOAIS E DOMÉSTICOS
,,,,,
,,52.1,,,COMÉRCIO VAREJISTA NÃO ESPECIALIZADO
,,,,,
,,,52.11-6,,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios, com área de venda superior a 5000 metros quadrados - hipermercados"
,,,52.12-4,,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios, com área de venda entre 300 e 5000 metros quadrados - supermercados"
,,,52.13-2,,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios, com área de venda inferior a 300 metros quadrados - exclusive lojas de conveniência"
,,,52.14-0,,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios indústrializados - lojas de conveniência"
,,,52.15-9,,"Comércio varejista não especializado, sem predominância de produtos alimentícios"
,,,,,
,,52.2,,,"COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS, BEBIDAS E FUMO, EM LOJAS ESPECIALIZADAS"
,,,,,
,,,52.21-3,,"Comércio varejista de produtos de padaria, de laticínio, frios e conservas"
,,,52.22-1,,"Comércio varejista de balas, bombons e semelhantes"
,,,52.23-0,,Comércio varejista de carnes - açougues
,,,52.24-8,,Comércio varejista de bebidas
,,,52.29-9,,Comércio varejista de outros produtos alimentícios não especificados anteriormente e de produtos do fumo
,,,,,
,,52.3,,,"COMÉRCIO VAREJISTA DE TECIDOS, ARTIGOS DE ARMARINHO, VESTUÁRIO, CALÇADOS, EM LOJAS ESPECIALIZADAS"
,,,,,
,,,52.31-0,,Comércio varejista de tecidos e artigos de armarinho
,,,52.32-9,,Comércio varejista de artigos do vestuário e complementos
,,,52.33-7,,"Comércio varejista de calçados, artigos de couro e viagem"
,,,,,
,,52.4,,,"COMÉRCIO VAREJISTA DE OUTROS PRODUTOS, EM LOJAS ESPECIALIZADAS"
,,,,,
,,,52.41-8,,"Comércio varejista de produtos farmacêuticos, artigos médicos e ortopédicos, de perfumaria e cosméticos"
,,,52.42-6,,"Comércio varejista de máquinas e aparelhos de usos doméstico e pessoal, discos e instrumentos musicais"
,,,52.43-4,,"Comércio varejista de móveis, artigos de iluminação e outros artigos para residência"
,,,52.44-2,,"Comércio varejista de material de construção, ferragens, ferramentas manuais e produtos metalúrgicos; vidros, espelhos e vitrais; tintas e madeiras"
,,,52.45-0,,"Comércio varejista de equipamentos para escritório; informática e comunicação, inclusive suprimentos"
,,,52.46-9,,"Comércio varejista de livros, jornais, revistas e papelaria"
,,,52.47-7,,Comércio varejista de gás liquefeito de petróleo (GLP)
,,,52.49-3,,Comércio varejista de outros produtos não especificados anteriormente
,,,,,
,,52.5,,,"COMÉRCIO VAREJISTA DE ARTIGOS USADOS, EM LOJAS"
,,,,,
,,,52.50-7,,"Comércio varejista de artigos usados, em lojas"
,,,,,
,,52.6,,,COMÉRCIO VAREJISTA NÃO REALIZADO EM LOJAS
,,,,,
,,,52.61-2,,"Comércio varejista de artigos em geral, por catálogo, televisão, internet e outros meios de comunicação"
,,,52.69-8,,"Comércio varejista realizado em vias públicas, postos móveis e outros tipos não realizados em lojas"
,,,,,
,,52.7,,,REPARAÇÃO DE OBJETOS PESSOAIS E DOMÉSTICOS
,,,,,
,,,52.71-0,,Reparação e manutenção de máquinas e de aparelhos eletrodomésticos
,,,52.72-8,,Reparação de calçados
,,,52.79-5,,Reparação de outros objetos pessoais e domésticos
,,,,,
H,,,,,ALOJAMENTO E ALIMENTAÇÃO
,,,,,
,55,,,,ALOJAMENTO E ALIMENTAÇÃO
,,,,,
,,55.1,,,ESTABELECIMENTOS HOTELEIROS E OUTROS TIPOS DE ALOJAMENTO TEMPORÁRIO
,,,,,
,,,55.11-5,,"Estabelecimentos hoteleiros, com restaurante"
,,,55.12-3,,"Estabelecimentos hoteleiros, sem restaurante"
,,,55.19-0,,Outros tipos de alojamento
,,,,,
,,55.2,,,RESTAURANTES E OUTROS ESTABELECIMENTOS DE SERVIÇOS DE ALIMENTAÇÃO
,,,,,
,,,55.21-2,,"Restaurantes e estabelecimentos de bebidas, com serviço completo"
,,,55.22-0,,Lanchonetes e similares
,,,55.23-9,,Cantinas (serviços de alimentação privativos)
,,,55.24-7,,Fornecimento de comida preparada
,,,55.29-8,,Outros serviços de alimentação
,,,,,
I,,,,,"TRANSPORTE, ARMAZENAGEM E COMUNICAÇÕES"
,,,,,
,60,,,,TRANSPORTE TERRESTRE
,,,,,
,,60.1,,,TRANSPORTE FERROVIÁRIO INTERURBANO
,,,,,
,,,60.10-0,,Transporte ferroviário interurbano
,,,,,
,,60.2,,,OUTROS TRANSPORTES TERRESTRES
,,,,,
,,,60.21-6,,"Transporte ferroviário de passageiros, urbano"
,,,60.22-4,,Transporte metroviário
,,,60.23-2,,"Transporte rodoviário de passageiros, regular, urbano"
,,,60.24-0,,"Transporte rodoviário de passageiros, regular, não urbano"
,,,60.25-9,,"Transporte rodoviário de passageiros, não regular"
,,,60.26-7,,"Transporte rodoviário de cargas, em geral"
,,,60.27-5,,Transporte rodoviário de produtos perigosos
,,,60.28-3,,Transporte rodoviário de mudanças
,,,60.29-1,,"Transporte regular em bondes, funiculares, teleféricos ou trens próprios para exploração de pontos turísticos"
,,,,,
,,60.3,,,TRANSPORTE DUTOVIÁRIO
,,,,,
,,,60.30-5,,Transporte dutoviário
,,,,,
,61,,,,TRANSPORTE AQUAVIÁRIO
,,,,,
,,61.1,,,TRANSPORTE MARÍTIMO DE CABOTAGEM E LONGO CURSO
,,,,,
,,,61.11-5,,Transporte marítimo de cabotagem
,,,61.12-3,,Transporte marítimo de longo curso
,,,,,
,,61.2,,,OUTROS TRANSPORTES AQUAVIÁRIOS
,,,,,
,,,61.21-2,,Transporte por navegação interior de passageiros
,,,61.22-0,,Transporte por navegação interior de carga
,,,61.23-9,,Transporte aquaviário urbano
,,,,,
,62,,,,TRANSPORTE AÉREO
,,,,,
,,62.1,,,"TRANSPORTE AÉREO, REGULAR"
,,,,,
,,,62.10-3,,"Transporte aéreo, regular"
,,,,,
,,62.2,,,"TRANSPORTE AÉREO, NÃO REGULAR"
,,,,,
,,,62.20-0,,"Transporte aéreo, não regular"
,,,,,
,,62.3,,,TRANSPORTE ESPACIAL
,,,,,
,,,62.30-8,,Transporte espacial
,,,,,
,63,,,,ATIVIDADES ANEXAS E AUXILIARES DO TRANSPORTE E AGÊNCIAS DE VIAGEM
,,,,,
,,63.1,,,MOVIMENTAÇÃO E ARMAZENAMENTO DE CARGAS
,,,,,
,,,63.11-8,,Carga e descarga
,,,63.12-6,,Armazenamento e depósitos de cargas
,,,,,
,,63.2,,,ATIVIDADES AUXILIARES AOS TRANSPORTES
,,,,,
,,,63.21-5,,Atividades auxiliares aos transportes terrestres
,,,63.22-3,,Atividades auxiliares aos transportes aquaviários
,,,63.23-1,,Atividades auxiliares aos transportes aéreos
,,,,,
,,63.3,,,ATIVIDADES DE AGÊNCIAS DE VIAGENS E ORGANIZADORES DE VIAGEM
,,,,,
,,,63.30-4,,Atividades de agências de viagens e organizadores de viagem
,,,,,
,,63.4,,,ATIVIDADES RELACIONADAS À ORGANIZAÇÃO DO TRANSPORTE DE CARGAS
,,,,,
,,,63.40-1,,Atividades relacionadas à organização do transporte de cargas
,,,,,
,64,,,,CORREIO E TELECOMUNICAÇÕES
,,,,,
,,64.1,,,CORREIO
,,,,,
,,,64.11-4,,Atividades de Correio Nacional
,,,64.12-2,,Outras atividades de correio
,,,,,
,,64.2,,,TELECOMUNICAÇÕES
,,,,,
,,,64.20-3,,Telecomunicações
,,,,,
J,,,,,INTERMEDIAÇÃO FINANCEIRA
,,,,,
,65,,,,"INTERMEDIAÇÃO FINANCEIRA, EXCLUSIVE SEGUROS E PREVIDÊNCIA PRIVADA"
,,,,,
,,65.1,,,BANCO CENTRAL
,,,,,
,,,65.10-2,,Banco Central
,,,,,
,,65.2,,,INTERMEDIAÇÃO MONETÁRIA - DEPÓSITOS À VISTA
,,,,,
,,,65.21-8,,Bancos comerciais
,,,65.22-6,,Bancos múltiplos (com carteira comercial)
,,,65.23-4,,Caixas econômicas
,,,65.24-2,,Crédito cooperativo 
,,,,,
,,65.3,,,INTERMEDIAÇÃO MONETÁRIA - OUTROS TIPOS DE DEPÓSITOS
,,,,,
,,,65.31-5,,Bancos múltiplos (sem carteira comercial)
,,,65.32-3,,Bancos de investimento
,,,65.33-1,,Bancos de desenvolvimento
,,,65.34-0,,Crédito imobiliário
